Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
26-11-2021,Tarsons Product,1030.22,1.06,3.4,2.49,662,700,840,26.89,641.45,-3.1
23-11-2021,Latent View,622.11,145.48,850.66,119.44,197,530,488.6,148.02,639.85,224.8
18-11-2021,Sapphire Foods,2073,3.11,2.34,5.25,1180,1311,1216.05,3.06,"1,048.05",-11.18
18-11-2021,One 97(Paytm),18915.9,2.79,0.24,1.66,2150,1955,1564.15,-27.25,"1,655.00",-23.02
15-11-2021,SJS Enterprises,816.57,1.42,2.32,1.38,542,514,509.85,-5.93,441.05,-18.63
15-11-2021,PB Fintech,6273.5,9.83,2.58,1.67,980,1444,1202.9,22.74,"1,210.50",23.52
15-11-2021,Sigachi Ind,0,42.15,78.82,41.26,163,575,603.75,270.4,429.35,163.4
12-11-2021,Fino Payments,1209,1.65,0.21,5.92,577,548,545.25,-5.5,409.9,-28.96
10-11-2021,FSN E-Co(Nykaa),5375,91.18,112.02,12.24,1125,2001,2206.7,96.15,"2,252.00",100.18
29-07-2021,Tatva Chintan,500,2.55,9.78,13.36,1083,2111.8,2310.25,113.32,"2,609.10",140.91
23-07-2021,Zomato,9375,51.79,32.96,7.45,76,115,125.85,65.59,142,86.84
19-07-2021,G R Infra,963.28,93.18,73.01,4.89,837,1700,1746.8,108.7,"1,800.00",115.05
19-07-2021,Clean Science,1546,156.37,206.43,9,900,1784.4,1585.2,76.13,"2,620.30",191.14
07-07-2021,India Pesticide,800,2.64,1.36,4.4,296,360,335.45,13.33,300.65,1.57
05-07-2021,Krishna Inst.,2146,5.26,1.89,2.9,825,1009,1096.8,32.95,"1,391.10",68.62
28-06-2021,Dodla Dairy,521,84.88,73.26,11.34,428,550,609.1,42.31,567.6,32.62
24-06-2021,Sona BLW,5550,1.57,0.22,0.66,291,302.4,362.85,24.69,762.95,162.18
24-06-2021,Shyam Metalics,909,62.18,172.51,5.29,306,380,375.85,22.83,312.3,2.06
14-05-2021,PowerGrid InvIT,7734.99,0,0,0,100,104,102.98,2.98,120.05,20.05
19-04-2021,Macrotech Dev,2500,3.05,1.44,0.4,486,439,463.15,-4.7,"1,434.05",195.07
07-04-2021,Barbeque Nat,453.6,0,0,0,500,492,590.4,18.08,"1,489.25",197.85
30-03-2021,Nazara,582.91,52.82,148.42,34.49,1101,1971,1576.8,43.22,"2,339.00",112.44
26-03-2021,Suryoday Small,582.34,2.18,1.31,3.09,305,274.75,276.2,-9.44,149.75,-50.9
26-03-2021,Kalyan Jeweller,1175,1.18,0.97,1.47,87,73.9,75.3,-13.45,69.8,-19.77
25-03-2021,Craftsman,823.7,0.56,0.05,1.04,1490,1440,1433,-3.83,"2,289.70",53.67
25-03-2021,Laxmi Organic,600,1.13,0.73,4.41,130,173,164.6,26.62,430.5,231.15
24-03-2021,Anupam Rasayan,760,30.8,62.06,4.62,555,534.7,525.9,-5.24,791.25,42.57
19-03-2021,Easy Trip,510,0,2.79,14.48,187,182,208.3,11.39,502,168.45
15-03-2021,MTAR Tech,596.41,52.01,522.35,12.78,575,990.05,1082.25,88.22,"2,320.00",303.48
05-03-2021,Heranba,60,25.98,108.72,4.82,627,900,812.25,29.55,685,9.25
26-02-2021,Railtel,819.24,22.03,51.4,7.08,94,109,121.4,29.15,118.75,26.33
25-02-2021,Nureca,100,0.24,17.1,74.29,400,634.95,666.65,66.66,"1,531.25",282.81
